Timestamp,Engine_Coolant_Temperature,Intake_Manifold_Abs_Pressure,Engine_RPM,Vehicle_Speed,Intake_Air_Temperature,AirFlow_Rate,Throttle_Position,Air_Temperature,Acc_Pedal_Pos_D,Acc_Pedal_Pos_E,breakdown
2017-07-07 07:23:12.909,32.0,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5,0
2017-07-07 07:23:12.999,32.0,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5,0
2017-07-07 07:23:13.089,32.0,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5,0
2017-07-07 07:23:13.179,32.0,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5,0
2017-07-07 07:23:13.269,32.0,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5,0
2017-07-07 07:23:13.359,32.0,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5,0
2017-07-07 07:23:13.449,32.0,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5,0
2017-07-07 07:23:13.539,32.0,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5,0
2017-07-07 07:23:13.629,32.0,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5,0
2017-07-07 07:23:13.718,32.0,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5,0
2017-07-07 07:23:13.809,32.0,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5,0
2017-07-07 07:23:13.899,32.0,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5,0
2017-07-07 07:23:13.989,32.0,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5,0
2017-07-07 07:23:14.079,32.0,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5,0
2017-07-07 07:23:14.169,32.0,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5,0
2017-07-07 07:23:14.259,32.0,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5,0
2017-07-07 07:23:14.349,32.0,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5,0
2017-07-07 07:23:14.439,32.0,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5,0
2017-07-07 07:23:14.529,32.0,96.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5,0
